time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/std,train/value_loss,train/clip_range,train/approx_kl,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
1,100.0,512,819,0,-458.0,,,,,,,,,,,,,
2,100.0,1024,646,1,-459.85999999999996,1.006937026977539,4105.902827453613,0.2,0.0070706983,-0.00023376941680908203,10,1795.9482421875,0.0003,0.10625,-0.012105085572693497,-8.532602661848069,,
3,100.0,1536,651,2,-459.5466666666667,1.0094866752624512,4215.520143127442,0.2,0.009298542,4.595518112182617e-05,20,1946.7218017578125,0.0003,0.1314453125,-0.017538838635664432,-8.564104491472245,,
,,2000,,,,1.0173629522323608,4088.8462936401365,0.2,0.0067469263,-7.87973403930664e-05,30,2387.713134765625,0.0003,0.0447265625,-0.010884524282300845,-8.59468142390251,-505.8,100.0
4,100.0,2048,20,101,-460.65,,,,,,,,,,,,,
5,100.0,2560,24,102,-460.816,1.021499514579773,4094.610585021973,0.2,0.0066432254,0.00010246038436889648,40,1899.4393310546875,0.0003,0.08984375,-0.010625791148049757,-8.630191141366959,,
6,100.0,3072,29,103,-461.9566666666667,1.012854814529419,3994.806115722656,0.2,0.007876942,-3.814697265625e-06,50,2206.067626953125,0.0003,0.1171875,-0.01762716113589704,-8.616713804006576,,
7,100.0,3584,34,104,-461.04,1.018113374710083,3961.1570068359374,0.2,0.0072689066,7.62939453125e-06,60,1752.29052734375,0.0003,0.0814453125,-0.012356211012229324,-8.604836332798005,,
,,4000,,,,1.0157802104949951,3845.2063385009765,0.2,0.0104157515,-1.811981201171875e-05,70,1615.807861328125,0.0003,0.118359375,-0.0160595977504272,-8.616188240051269,-506.7,100.0
8,100.0,4096,20,204,-460.69750000000005,,,,,,,,,,,,,
9,100.0,4608,22,205,-460.3565217391304,1.0170782804489136,3790.4385147094727,0.2,0.010754385,7.68899917602539e-06,80,1900.20947265625,0.0003,0.1146484375,-0.017232748583774084,-8.610080128908157,,
10,100.0,5120,24,205,-459.8333333333333,1.0174044370651245,3715.9595687866213,0.2,0.008723719,-1.0728836059570312e-06,90,1916.9334716796875,0.0003,0.085546875,-0.012347493355628103,-8.616867989301682,,
11,100.0,5632,27,206,-459.98035714285714,1.0168843269348145,3485.562582397461,0.2,0.006167938,-1.6689300537109375e-06,100,1431.246337890625,0.0003,0.0693359375,-0.009757323877420277,-8.613181132078171,,
,,6000,,,,1.0187010765075684,3544.8808822631836,0.2,0.0074466425,-2.1457672119140625e-06,110,1716.109619140625,0.0003,0.0826171875,-0.01044529146165587,-8.618985533714294,-507.0,100.0
12,100.0,6144,19,310,-460.3737704918033,,,,,,,,,,,,,
13,100.0,6656,21,311,-460.6833333333334,1.0225074291229248,3401.188798522949,0.2,0.008856428,-1.0609626770019531e-05,120,1677.204833984375,0.0003,0.08984375,-0.013296986895147711,-8.635652565956116,,
14,100.0,7168,22,311,-460.33098591549305,1.0286555290222168,3354.0774520874024,0.2,0.009860424,-2.86102294921875e-06,130,1608.537353515625,0.0003,0.1376953125,-0.0142106439685449,-8.6654731631279,,
15,100.0,7680,24,312,-460.1828947368421,1.0276806354522705,3162.422102355957,0.2,0.009933457,-6.67572021484375e-06,140,1678.3665771484375,0.0003,0.1056640625,-0.018407148408005013,-8.68019392490387,,
,,8000,,,,1.0297348499298096,3279.480390930176,0.2,0.012144594,-2.9802322387695312e-06,150,1336.3089599609375,0.0003,0.0982421875,-0.014764810644555837,-8.683997893333435,-504.6,100.0
16,100.0,8192,19,412,-459.8061728395062,,,,,,,,,,,,,
17,100.0,8704,21,413,-459.8287356321839,1.029579520225525,3228.0226654052735,0.2,0.008708631,-2.384185791015625e-06,160,1689.2381591796875,0.0003,0.113671875,-0.012357279111165553,-8.68591486811638,,
18,100.0,9216,22,413,-459.9217391304348,1.025803565979004,3228.4517150878905,0.2,0.007730987,-1.1920928955078125e-07,170,1393.5556640625,0.0003,0.093359375,-0.014203637489117682,-8.674328881502152,,
19,100.0,9728,23,414,-459.719587628866,1.0220236778259277,3146.613671875,0.2,0.0077397656,-1.1920928955078125e-07,180,1597.2919921875,0.0003,0.091015625,-0.014050115959253161,-8.651968163251876,,
,,10000,,,,1.0275222063064575,2901.8730804443358,0.2,0.008461234,3.5762786865234375e-07,190,1134.6038818359375,0.0003,0.1072265625,-0.019829860853496938,-8.660101097822189,-506.4,100.0
20,100.0,10240,19,515,-459.7340000000001,,,,,,,,,,,,,
